"continent","country","countrycode","parent_company","plastic_type","n_pieces"
"Amerika","Argentinien","AR","Ivess","hdpe",0
"Amerika","Argentinien","AR","Ivess","ldpe",0
"Amerika","Argentinien","AR","Ivess","o",1
"Amerika","Argentinien","AR","Ivess","pet",0
"Amerika","Argentinien","AR","Ivess","pp",1
"Amerika","Argentinien","AR","Ivess","ps",0
"Amerika","Argentinien","AR","Ivess","pvc",0
"Amerika","Argentinien","AR","Terrabusi","hdpe",0
"Amerika","Argentinien","AR","Terrabusi","ldpe",0
"Amerika","Argentinien","AR","Terrabusi","o",0
"Amerika","Argentinien","AR","Terrabusi","pet",0
"Amerika","Argentinien","AR","Terrabusi","pp",2
"Amerika","Argentinien","AR","Terrabusi","ps",0
"Amerika","Argentinien","AR","Terrabusi","pvc",0
"Amerika","Argentinien","AR","Limpia-Lik","hdpe",2
"Amerika","Argentinien","AR","Limpia-Lik","ldpe",0
"Amerika","Argentinien","AR","Limpia-Lik","o",0
"Amerika","Argentinien","AR","Limpia-Lik","pet",0
"Amerika","Argentinien","AR","Limpia-Lik","pp",0
"Amerika","Argentinien","AR","Limpia-Lik","ps",0
"Amerika","Argentinien","AR","Limpia-Lik","pvc",0
"Amerika","Argentinien","AR","Tablada","hdpe",2
"Amerika","Argentinien","AR","Tablada","ldpe",0
"Amerika","Argentinien","AR","Tablada","o",0
"Amerika","Argentinien","AR","Tablada","pet",0
"Amerika","Argentinien","AR","Tablada","pp",0
"Amerika","Argentinien","AR","Tablada","ps",0
"Amerika","Argentinien","AR","Tablada","pvc",0
"Amerika","Argentinien","AR","Mars, Incorporated","hdpe",0
"Amerika","Argentinien","AR","Mars, Incorporated","ldpe",0
"Amerika","Argentinien","AR","Mars, Incorporated","o",0
"Amerika","Argentinien","AR","Mars, Incorporated","pet",1
"Amerika","Argentinien","AR","Mars, Incorporated","pp",1
"Amerika","Argentinien","AR","Mars, Incorporated","ps",0
"Amerika","Argentinien","AR","Mars, Incorporated","pvc",0
"Amerika","Argentinien","AR","Max Aroma","hdpe",0
"Amerika","Argentinien","AR","Max Aroma","ldpe",0
"Amerika","Argentinien","AR","Max Aroma","o",2
"Amerika","Argentinien","AR","Max Aroma","pet",0
"Amerika","Argentinien","AR","Max Aroma","pp",0
"Amerika","Argentinien","AR","Max Aroma","ps",0
"Amerika","Argentinien","AR","Max Aroma","pvc",0
"Amerika","Argentinien","AR","Speed Unlimited","hdpe",0
"Amerika","Argentinien","AR","Speed Unlimited","ldpe",0
"Amerika","Argentinien","AR","Speed Unlimited","o",2
"Amerika","Argentinien","AR","Speed Unlimited","pet",0
