"country","year","parent_company","empty","hdpe","ldpe","o","pet","pp","ps","pvc","grand_total","num_events","volunteers","continent","countrycode"
"Argentinien",2019,"savora",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"mil hojas",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"cada dia",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"melburn",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"lia",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"jaimito",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"legitimo",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"la fazenda",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"secco",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"serenisima",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"la cumbre",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"stella artois",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"paladini",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"jhonson",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"terrabusi",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"cepita",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"ALKA",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"brama",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
"Argentinien",2019,"LA CUMBRE",0,0,0,0,0,0,0,0,0,4,243,"Amerika","AR"
