"continent","country","parent_company","plastic_type","n_pieces","total_per_country","rel_freq"
"Americas","Argentina","Seven Up","ldpe",0,5,0
"Americas","Argentina","Seven Up","o",0,5,0
"Americas","Argentina","Seven Up","pet",5,5,1
"Americas","Argentina","Seven Up","pp",0,5,0
"Americas","Argentina","Seven Up","ps",0,5,0
"Americas","Argentina","Seven Up","pvc",0,5,0
"Americas","Argentina","Dea","hdpe",0,5,0
"Americas","Argentina","Dea","ldpe",0,5,0
"Americas","Argentina","Dea","o",0,5,0
"Americas","Argentina","Dea","pet",3,5,0.6
"Americas","Argentina","Dea","pp",2,5,0.4
"Americas","Argentina","Dea","ps",0,5,0
"Americas","Argentina","Dea","pvc",0,5,0
"Americas","Argentina","Sierra De Los Padres","hdpe",0,5,0
"Americas","Argentina","Sierra De Los Padres","ldpe",0,5,0
"Americas","Argentina","Sierra De Los Padres","o",0,5,0
"Americas","Argentina","Sierra De Los Padres","pet",4,5,0.8
"Americas","Argentina","Sierra De Los Padres","pp",1,5,0.2
"Americas","Argentina","Sierra De Los Padres","ps",0,5,0
"Americas","Argentina","Sierra De Los Padres","pvc",0,5,0
"Americas","Argentina","The Clorox Group","hdpe",4,5,0.8
"Americas","Argentina","The Clorox Group","ldpe",0,5,0
"Americas","Argentina","The Clorox Group","o",0,5,0
"Americas","Argentina","The Clorox Group","pet",0,5,0
"Americas","Argentina","The Clorox Group","pp",1,5,0.2
"Americas","Argentina","The Clorox Group","ps",0,5,0
"Americas","Argentina","The Clorox Group","pvc",0,5,0
"Americas","Argentina","Goliat","hdpe",0,4,0
"Americas","Argentina","Goliat","ldpe",0,4,0
"Americas","Argentina","Goliat","o",0,4,0
"Americas","Argentina","Goliat","pet",2,4,0.5
"Americas","Argentina","Goliat","pp",2,4,0.5
"Americas","Argentina","Goliat","ps",0,4,0
"Americas","Argentina","Goliat","pvc",0,4,0
"Americas","Argentina","Pipas","hdpe",0,4,0
"Americas","Argentina","Pipas","ldpe",0,4,0
"Americas","Argentina","Pipas","o",0,4,0
"Americas","Argentina","Pipas","pet",0,4,0
"Americas","Argentina","Pipas","pp",4,4,1
"Americas","Argentina","Pipas","ps",0,4,0
"Americas","Argentina","Pipas","pvc",0,4,0
"Americas","Argentina","Mondelez International","hdpe",0,4,0
"Americas","Argentina","Mondelez International","ldpe",0,4,0
"Americas","Argentina","Mondelez International","o",0,4,0
"Americas","Argentina","Mondelez International","pet",0,4,0
"Americas","Argentina","Mondelez International","pp",4,4,1
"Americas","Argentina","Mondelez International","ps",0,4,0
"Americas","Argentina","Mondelez International","pvc",0,4,0
"Americas","Argentina","Dr Pepper Snapple Group","hdpe",0,4,0
"Americas","Argentina","Dr Pepper Snapple Group","ldpe",0,4,0
"Americas","Argentina","Dr Pepper Snapple Group","o",1,4,0.25
"Americas","Argentina","Dr Pepper Snapple Group","pet",3,4,0.75
"Americas","Argentina","Dr Pepper Snapple Group","pp",0,4,0
"Americas","Argentina","Dr Pepper Snapple Group","ps",0,4,0
"Americas","Argentina","Dr Pepper Snapple Group","pvc",0,4,0
"Americas","Argentina","Schneider","hdpe",0,4,0
"Americas","Argentina","Schneider","ldpe",0,4,0
"Americas","Argentina","Schneider","o",4,4,1
"Americas","Argentina","Schneider","pet",0,4,0
"Americas","Argentina","Schneider","pp",0,4,0
"Americas","Argentina","Schneider","ps",0,4,0
"Americas","Argentina","Schneider","pvc",0,4,0
"Americas","Argentina","Tacconi","hdpe",0,4,0
"Americas","Argentina","Tacconi","ldpe",0,4,0
"Americas","Argentina","Tacconi","o",0,4,0
"Americas","Argentina","Tacconi","pet",4,4,1
"Americas","Argentina","Tacconi","pp",0,4,0
"Americas","Argentina","Tacconi","ps",0,4,0
"Americas","Argentina","Tacconi","pvc",0,4,0
"Americas","Argentina","Brahma","hdpe",0,3,0
"Americas","Argentina","Brahma","ldpe",0,3,0
"Americas","Argentina","Brahma","o",3,3,1
"Americas","Argentina","Brahma","pet",0,3,0
"Americas","Argentina","Brahma","pp",0,3,0
"Americas","Argentina","Brahma","ps",0,3,0
"Americas","Argentina","Brahma","pvc",0,3,0
"Americas","Argentina","Baggio Pronto","hdpe",0,3,0
"Americas","Argentina","Baggio Pronto","ldpe",0,3,0
"Americas","Argentina","Baggio Pronto","o",3,3,1
"Americas","Argentina","Baggio Pronto","pet",0,3,0
"Americas","Argentina","Baggio Pronto","pp",0,3,0
"Americas","Argentina","Baggio Pronto","ps",0,3,0
"Americas","Argentina","Baggio Pronto","pvc",0,3,0
"Americas","Argentina","Fantoche","hdpe",0,3,0
"Americas","Argentina","Fantoche","ldpe",0,3,0
"Americas","Argentina","Fantoche","o",0,3,0
"Americas","Argentina","Fantoche","pet",0,3,0
"Americas","Argentina","Fantoche","pp",3,3,1
"Americas","Argentina","Fantoche","ps",0,3,0
"Americas","Argentina","Fantoche","pvc",0,3,0
"Americas","Argentina","Fernando","hdpe",0,3,0
"Americas","Argentina","Fernando","ldpe",0,3,0
"Americas","Argentina","Fernando","o",0,3,0
"Americas","Argentina","Fernando","pet",1,3,0.333
"Americas","Argentina","Fernando","pp",2,3,0.667
"Americas","Argentina","Fernando","ps",0,3,0
"Americas","Argentina","Fernando","pvc",0,3,0
"Americas","Argentina","Ferrero Group","hdpe",1,3,0.333
"Americas","Argentina","Ferrero Group","ldpe",0,3,0
"Americas","Argentina","Ferrero Group","o",0,3,0
"Americas","Argentina","Ferrero Group","pet",0,3,0
"Americas","Argentina","Ferrero Group","pp",2,3,0.667
"Americas","Argentina","Ferrero Group","ps",0,3,0
"Americas","Argentina","Ferrero Group","pvc",0,3,0
"Americas","Argentina","Quilmes","hdpe",0,3,0
"Americas","Argentina","Quilmes","ldpe",0,3,0
"Americas","Argentina","Quilmes","o",3,3,1
"Americas","Argentina","Quilmes","pet",0,3,0
"Americas","Argentina","Quilmes","pp",0,3,0
"Americas","Argentina","Quilmes","ps",0,3,0
"Americas","Argentina","Quilmes","pvc",0,3,0
"Americas","Argentina","Poett","hdpe",0,2,0
"Americas","Argentina","Poett","ldpe",0,2,0
"Americas","Argentina","Poett","o",0,2,0
"Americas","Argentina","Poett","pet",2,2,1
"Americas","Argentina","Poett","pp",0,2,0
"Americas","Argentina","Poett","ps",0,2,0
"Americas","Argentina","Poett","pvc",0,2,0
"Americas","Argentina","Hacendado","hdpe",0,2,0
"Americas","Argentina","Hacendado","ldpe",0,2,0
"Americas","Argentina","Hacendado","o",0,2,0
"Americas","Argentina","Hacendado","pet",0,2,0
"Americas","Argentina","Hacendado","pp",2,2,1
"Americas","Argentina","Hacendado","ps",0,2,0
"Americas","Argentina","Hacendado","pvc",0,2,0
"Americas","Argentina","Yamlube","hdpe",2,2,1
"Americas","Argentina","Yamlube","ldpe",0,2,0
"Americas","Argentina","Yamlube","o",0,2,0
"Americas","Argentina","Yamlube","pet",0,2,0
"Americas","Argentina","Yamlube","pp",0,2,0
"Americas","Argentina","Yamlube","ps",0,2,0
"Americas","Argentina","Yamlube","pvc",0,2,0
"Americas","Argentina","Yamaha Motors Argentina S.A.","hdpe",2,2,1
"Americas","Argentina","Yamaha Motors Argentina S.A.","ldpe",0,2,0
"Americas","Argentina","Yamaha Motors Argentina S.A.","o",0,2,0
"Americas","Argentina","Yamaha Motors Argentina S.A.","pet",0,2,0
"Americas","Argentina","Yamaha Motors Argentina S.A.","pp",0,2,0
"Americas","Argentina","Yamaha Motors Argentina S.A.","ps",0,2,0
"Americas","Argentina","Yamaha Motors Argentina S.A.","pvc",0,2,0
"Americas","Argentina","Wega (N15)","hdpe",0,2,0
"Americas","Argentina","Wega (N15)","ldpe",0,2,0
"Americas","Argentina","Wega (N15)","o",2,2,1
"Americas","Argentina","Wega (N15)","pet",0,2,0
"Americas","Argentina","Wega (N15)","pp",0,2,0
"Americas","Argentina","Wega (N15)","ps",0,2,0
"Americas","Argentina","Wega (N15)","pvc",0,2,0
"Americas","Argentina","Valvoline","hdpe",2,2,1
"Americas","Argentina","Valvoline","ldpe",0,2,0
"Americas","Argentina","Valvoline","o",0,2,0
"Americas","Argentina","Valvoline","pet",0,2,0
"Americas","Argentina","Valvoline","pp",0,2,0
"Americas","Argentina","Valvoline","ps",0,2,0
"Americas","Argentina","Valvoline","pvc",0,2,0
"Americas","Argentina","Grido","hdpe",0,2,0
"Americas","Argentina","Grido","ldpe",0,2,0
"Americas","Argentina","Grido","o",1,2,0.5
"Americas","Argentina","Grido","pet",0,2,0
"Americas","Argentina","Grido","pp",1,2,0.5
"Americas","Argentina","Grido","ps",0,2,0
"Americas","Argentina","Grido","pvc",0,2,0
"Americas","Argentina","La Virginia","hdpe",0,2,0
"Americas","Argentina","La Virginia","ldpe",0,2,0
"Americas","Argentina","La Virginia","o",0,2,0
"Americas","Argentina","La Virginia","pet",0,2,0
"Americas","Argentina","La Virginia","pp",2,2,1
"Americas","Argentina","La Virginia","ps",0,2,0
"Americas","Argentina","La Virginia","pvc",0,2,0
"Americas","Argentina","Ivess","hdpe",0,2,0
"Americas","Argentina","Ivess","ldpe",0,2,0
"Americas","Argentina","Ivess","o",1,2,0.5
"Americas","Argentina","Ivess","pet",0,2,0
"Americas","Argentina","Ivess","pp",1,2,0.5
"Americas","Argentina","Ivess","ps",0,2,0
"Americas","Argentina","Ivess","pvc",0,2,0
"Americas","Argentina","Terrabusi","hdpe",0,2,0
"Americas","Argentina","Terrabusi","ldpe",0,2,0
"Americas","Argentina","Terrabusi","o",0,2,0
