"continent","country","parent_company","plastic_type","n_pieces"
"Americas","Argentina","Quilmes","ldpe",0
"Americas","Argentina","Quilmes","o",3
"Americas","Argentina","Quilmes","pet",0
"Americas","Argentina","Quilmes","pp",0
"Americas","Argentina","Quilmes","ps",0
"Americas","Argentina","Quilmes","pvc",0
"Americas","Argentina","Poett","hdpe",0
"Americas","Argentina","Poett","ldpe",0
"Americas","Argentina","Poett","o",0
"Americas","Argentina","Poett","pet",2
"Americas","Argentina","Poett","pp",0
"Americas","Argentina","Poett","ps",0
"Americas","Argentina","Poett","pvc",0
"Americas","Argentina","Hacendado","hdpe",0
"Americas","Argentina","Hacendado","ldpe",0
"Americas","Argentina","Hacendado","o",0
"Americas","Argentina","Hacendado","pet",0
"Americas","Argentina","Hacendado","pp",2
"Americas","Argentina","Hacendado","ps",0
"Americas","Argentina","Hacendado","pvc",0
"Americas","Argentina","Yamlube","hdpe",2
"Americas","Argentina","Yamlube","ldpe",0
"Americas","Argentina","Yamlube","o",0
"Americas","Argentina","Yamlube","pet",0
"Americas","Argentina","Yamlube","pp",0
"Americas","Argentina","Yamlube","ps",0
"Americas","Argentina","Yamlube","pvc",0
"Americas","Argentina","Yamaha Motors Argentina S.A.","hdpe",2
"Americas","Argentina","Yamaha Motors Argentina S.A.","ldpe",0
"Americas","Argentina","Yamaha Motors Argentina S.A.","o",0
"Americas","Argentina","Yamaha Motors Argentina S.A.","pet",0
"Americas","Argentina","Yamaha Motors Argentina S.A.","pp",0
"Americas","Argentina","Yamaha Motors Argentina S.A.","ps",0
"Americas","Argentina","Yamaha Motors Argentina S.A.","pvc",0
"Americas","Argentina","Wega (N15)","hdpe",0
"Americas","Argentina","Wega (N15)","ldpe",0
"Americas","Argentina","Wega (N15)","o",2
"Americas","Argentina","Wega (N15)","pet",0
"Americas","Argentina","Wega (N15)","pp",0
"Americas","Argentina","Wega (N15)","ps",0
"Americas","Argentina","Wega (N15)","pvc",0
"Americas","Argentina","Valvoline","hdpe",2
"Americas","Argentina","Valvoline","ldpe",0
"Americas","Argentina","Valvoline","o",0
"Americas","Argentina","Valvoline","pet",0
"Americas","Argentina","Valvoline","pp",0
"Americas","Argentina","Valvoline","ps",0
"Americas","Argentina","Valvoline","pvc",0
"Americas","Argentina","Grido","hdpe",0
"Americas","Argentina","Grido","ldpe",0
"Americas","Argentina","Grido","o",1
"Americas","Argentina","Grido","pet",0
"Americas","Argentina","Grido","pp",1
"Americas","Argentina","Grido","ps",0
"Americas","Argentina","Grido","pvc",0
"Americas","Argentina","La Virginia","hdpe",0
"Americas","Argentina","La Virginia","ldpe",0
"Americas","Argentina","La Virginia","o",0
"Americas","Argentina","La Virginia","pet",0
"Americas","Argentina","La Virginia","pp",2
"Americas","Argentina","La Virginia","ps",0
"Americas","Argentina","La Virginia","pvc",0
"Americas","Argentina","Ivess","hdpe",0
"Americas","Argentina","Ivess","ldpe",0
"Americas","Argentina","Ivess","o",1
"Americas","Argentina","Ivess","pet",0
"Americas","Argentina","Ivess","pp",1
"Americas","Argentina","Ivess","ps",0
"Americas","Argentina","Ivess","pvc",0
"Americas","Argentina","Terrabusi","hdpe",0
"Americas","Argentina","Terrabusi","ldpe",0
"Americas","Argentina","Terrabusi","o",0
"Americas","Argentina","Terrabusi","pet",0
"Americas","Argentina","Terrabusi","pp",2
"Americas","Argentina","Terrabusi","ps",0
"Americas","Argentina","Terrabusi","pvc",0
"Americas","Argentina","Limpia-Lik","hdpe",2
"Americas","Argentina","Limpia-Lik","ldpe",0
"Americas","Argentina","Limpia-Lik","o",0
"Americas","Argentina","Limpia-Lik","pet",0
"Americas","Argentina","Limpia-Lik","pp",0
"Americas","Argentina","Limpia-Lik","ps",0
"Americas","Argentina","Limpia-Lik","pvc",0
"Americas","Argentina","Tablada","hdpe",2
"Americas","Argentina","Tablada","ldpe",0
"Americas","Argentina","Tablada","o",0
"Americas","Argentina","Tablada","pet",0
"Americas","Argentina","Tablada","pp",0
"Americas","Argentina","Tablada","ps",0
"Americas","Argentina","Tablada","pvc",0
"Americas","Argentina","Mars, Incorporated","hdpe",0
"Americas","Argentina","Mars, Incorporated","ldpe",0
"Americas","Argentina","Mars, Incorporated","o",0
"Americas","Argentina","Mars, Incorporated","pet",1
"Americas","Argentina","Mars, Incorporated","pp",1
"Americas","Argentina","Mars, Incorporated","ps",0
"Americas","Argentina","Mars, Incorporated","pvc",0
"Americas","Argentina","Max Aroma","hdpe",0
"Americas","Argentina","Max Aroma","ldpe",0
"Americas","Argentina","Max Aroma","o",2
"Americas","Argentina","Max Aroma","pet",0
"Americas","Argentina","Max Aroma","pp",0
"Americas","Argentina","Max Aroma","ps",0
"Americas","Argentina","Max Aroma","pvc",0
"Americas","Argentina","Speed Unlimited","hdpe",0
"Americas","Argentina","Speed Unlimited","ldpe",0
"Americas","Argentina","Speed Unlimited","o",2
"Americas","Argentina","Speed Unlimited","pet",0
"Americas","Argentina","Speed Unlimited","pp",0
"Americas","Argentina","Speed Unlimited","ps",0
"Americas","Argentina","Speed Unlimited","pvc",0
"Americas","Argentina","P&G","hdpe",0
"Americas","Argentina","P&G","ldpe",0
"Americas","Argentina","P&G","o",1
"Americas","Argentina","P&G","pet",0
"Americas","Argentina","P&G","pp",1
"Americas","Argentina","P&G","ps",0
"Americas","Argentina","P&G","pvc",0
"Americas","Argentina","Saldan","hdpe",0
"Americas","Argentina","Saldan","ldpe",0
"Americas","Argentina","Saldan","o",0
"Americas","Argentina","Saldan","pet",0
"Americas","Argentina","Saldan","pp",2
"Americas","Argentina","Saldan","ps",0
"Americas","Argentina","Saldan","pvc",0
"Americas","Argentina","Prunelle","hdpe",2
"Americas","Argentina","Prunelle","ldpe",0
"Americas","Argentina","Prunelle","o",0
"Americas","Argentina","Prunelle","pet",0
"Americas","Argentina","Prunelle","pp",0
"Americas","Argentina","Prunelle","ps",0
"Americas","Argentina","Prunelle","pvc",0
"Americas","Argentina","9 De Oro","hdpe",0
"Americas","Argentina","9 De Oro","ldpe",0
"Americas","Argentina","9 De Oro","o",0
"Americas","Argentina","9 De Oro","pet",0
"Americas","Argentina","9 De Oro","pp",2
"Americas","Argentina","9 De Oro","ps",0
"Americas","Argentina","9 De Oro","pvc",0
"Americas","Argentina","Daniel Gotman","hdpe",1
"Americas","Argentina","Daniel Gotman","ldpe",0
"Americas","Argentina","Daniel Gotman","o",1
"Americas","Argentina","Daniel Gotman","pet",0
"Americas","Argentina","Daniel Gotman","pp",0
"Americas","Argentina","Daniel Gotman","ps",0
"Americas","Argentina","Daniel Gotman","pvc",0
"Americas","Argentina","Bardahl","hdpe",2
"Americas","Argentina","Bardahl","ldpe",0
"Americas","Argentina","Bardahl","o",0
"Americas","Argentina","Bardahl","pet",0
"Americas","Argentina","Bardahl","pp",0
"Americas","Argentina","Bardahl","ps",0
"Americas","Argentina","Bardahl","pvc",0
"Americas","Argentina","Ayudin","hdpe",2
"Americas","Argentina","Ayudin","ldpe",0
"Americas","Argentina","Ayudin","o",0
"Americas","Argentina","Ayudin","pet",0
"Americas","Argentina","Ayudin","pp",0
"Americas","Argentina","Ayudin","ps",0
"Americas","Argentina","Ayudin","pvc",0
"Americas","Argentina","Cusenier","hdpe",0
"Americas","Argentina","Cusenier","ldpe",0
"Americas","Argentina","Cusenier","o",0
"Americas","Argentina","Cusenier","pet",2
"Americas","Argentina","Cusenier","pp",0
