"year","parent_company","countrycode","name","value"
2019,"Rinde Dos","ARG","ldpe",0
2019,"Rinde Dos","ARG","o",0
2019,"Rinde Dos","ARG","pet",0
2019,"Rinde Dos","ARG","pp",1
2019,"Rinde Dos","ARG","ps",0
2019,"Rinde Dos","ARG","pvc",0
2019,"Rockstar","ARG","hdpe",0
2019,"Rockstar","ARG","ldpe",0
2019,"Rockstar","ARG","o",1
2019,"Rockstar","ARG","pet",0
2019,"Rockstar","ARG","pp",0
2019,"Rockstar","ARG","ps",0
2019,"Rockstar","ARG","pvc",0
2019,"Dunox","ARG","hdpe",1
2019,"Dunox","ARG","ldpe",0
2019,"Dunox","ARG","o",0
2019,"Dunox","ARG","pet",0
2019,"Dunox","ARG","pp",0
2019,"Dunox","ARG","ps",0
2019,"Dunox","ARG","pvc",0
2019,"San Cayetano","ARG","hdpe",0
2019,"San Cayetano","ARG","ldpe",0
2019,"San Cayetano","ARG","o",0
2019,"San Cayetano","ARG","pet",0
2019,"San Cayetano","ARG","pp",1
2019,"San Cayetano","ARG","ps",0
2019,"San Cayetano","ARG","pvc",0
2019,"Saladix - Arcor","ARG","hdpe",0
2019,"Saladix - Arcor","ARG","ldpe",0
2019,"Saladix - Arcor","ARG","o",0
2019,"Saladix - Arcor","ARG","pet",0
2019,"Saladix - Arcor","ARG","pp",1
2019,"Saladix - Arcor","ARG","ps",0
2019,"Saladix - Arcor","ARG","pvc",0
2019,"Recreo","ARG","hdpe",0
2019,"Recreo","ARG","ldpe",0
2019,"Recreo","ARG","o",0
2019,"Recreo","ARG","pet",0
2019,"Recreo","ARG","pp",1
2019,"Recreo","ARG","ps",0
2019,"Recreo","ARG","pvc",0
2019,"Savant Pharm","ARG","hdpe",1
2019,"Savant Pharm","ARG","ldpe",0
2019,"Savant Pharm","ARG","o",0
2019,"Savant Pharm","ARG","pet",0
2019,"Savant Pharm","ARG","pp",0
2019,"Savant Pharm","ARG","ps",0
2019,"Savant Pharm","ARG","pvc",0
2019,"Bayer","ARG","hdpe",1
2019,"Bayer","ARG","ldpe",0
2019,"Bayer","ARG","o",0
2019,"Bayer","ARG","pet",0
2019,"Bayer","ARG","pp",0
2019,"Bayer","ARG","ps",0
2019,"Bayer","ARG","pvc",0
2019,"Seawalk","ARG","hdpe",1
2019,"Seawalk","ARG","ldpe",0
2019,"Seawalk","ARG","o",0
2019,"Seawalk","ARG","pet",0
2019,"Seawalk","ARG","pp",0
2019,"Seawalk","ARG","ps",0
2019,"Seawalk","ARG","pvc",0
2019,"Si Diet","ARG","hdpe",1
2019,"Si Diet","ARG","ldpe",0
2019,"Si Diet","ARG","o",0
2019,"Si Diet","ARG","pet",0
2019,"Si Diet","ARG","pp",0
2019,"Si Diet","ARG","ps",0
2019,"Si Diet","ARG","pvc",0
2019,"Sidney","ARG","hdpe",0
2019,"Sidney","ARG","ldpe",0
2019,"Sidney","ARG","o",0
2019,"Sidney","ARG","pet",1
2019,"Sidney","ARG","pp",0
2019,"Sidney","ARG","ps",0
2019,"Sidney","ARG","pvc",0
2019,"Resero","ARG","hdpe",0
2019,"Resero","ARG","ldpe",0
2019,"Resero","ARG","o",1
2019,"Resero","ARG","pet",0
2019,"Resero","ARG","pp",0
2019,"Resero","ARG","ps",0
2019,"Resero","ARG","pvc",0
2019,"Diamante","ARG","hdpe",0
2019,"Diamante","ARG","ldpe",0
2019,"Diamante","ARG","o",1
2019,"Diamante","ARG","pet",0
2019,"Diamante","ARG","pp",0
2019,"Diamante","ARG","ps",0
2019,"Diamante","ARG","pvc",0
2019,"Silsur","ARG","hdpe",0
2019,"Silsur","ARG","ldpe",0
2019,"Silsur","ARG","o",1
2019,"Silsur","ARG","pet",0
2019,"Silsur","ARG","pp",0
2019,"Silsur","ARG","ps",0
2019,"Silsur","ARG","pvc",0
2019,"Candela","ARG","hdpe",0
2019,"Candela","ARG","ldpe",0
2019,"Candela","ARG","o",1
2019,"Candela","ARG","pet",0
2019,"Candela","ARG","pp",0
2019,"Candela","ARG","ps",0
2019,"Candela","ARG","pvc",0
2019,"Omicron","ARG","hdpe",0
2019,"Omicron","ARG","ldpe",0
2019,"Omicron","ARG","o",0
2019,"Omicron","ARG","pet",0
2019,"Omicron","ARG","pp",1
2019,"Omicron","ARG","ps",0
2019,"Omicron","ARG","pvc",0
2019,"Cedal","ARG","hdpe",0
2019,"Cedal","ARG","ldpe",0
2019,"Cedal","ARG","o",0
2019,"Cedal","ARG","pet",0
2019,"Cedal","ARG","pp",1
2019,"Cedal","ARG","ps",0
2019,"Cedal","ARG","pvc",0
2019,"Paraná Limitada","ARG","hdpe",0
2019,"Paraná Limitada","ARG","ldpe",1
2019,"Paraná Limitada","ARG","o",0
2019,"Paraná Limitada","ARG","pet",0
2019,"Paraná Limitada","ARG","pp",0
2019,"Paraná Limitada","ARG","ps",0
2019,"Paraná Limitada","ARG","pvc",0
2019,"Cecchini","ARG","hdpe",1
2019,"Cecchini","ARG","ldpe",0
2019,"Cecchini","ARG","o",0
2019,"Cecchini","ARG","pet",0
2019,"Cecchini","ARG","pp",0
2019,"Cecchini","ARG","ps",0
2019,"Cecchini","ARG","pvc",0
2019,"Petronas","ARG","hdpe",1
2019,"Petronas","ARG","ldpe",0
2019,"Petronas","ARG","o",0
2019,"Petronas","ARG","pet",0
2019,"Petronas","ARG","pp",0
2019,"Petronas","ARG","ps",0
2019,"Petronas","ARG","pvc",0
2019,"Philip Morris","ARG","hdpe",0
2019,"Philip Morris","ARG","ldpe",0
2019,"Philip Morris","ARG","o",1
2019,"Philip Morris","ARG","pet",0
2019,"Philip Morris","ARG","pp",0
2019,"Philip Morris","ARG","ps",0
2019,"Philip Morris","ARG","pvc",0
2019,"Canela Fina","ARG","hdpe",1
2019,"Canela Fina","ARG","ldpe",0
2019,"Canela Fina","ARG","o",0
2019,"Canela Fina","ARG","pet",0
2019,"Canela Fina","ARG","pp",0
2019,"Canela Fina","ARG","ps",0
2019,"Canela Fina","ARG","pvc",0
2019,"Polvorita","ARG","hdpe",0
2019,"Polvorita","ARG","ldpe",0
2019,"Polvorita","ARG","o",0
2019,"Polvorita","ARG","pet",0
2019,"Polvorita","ARG","pp",1
2019,"Polvorita","ARG","ps",0
2019,"Polvorita","ARG","pvc",0
2019,"Rapifix","ARG","hdpe",0
2019,"Rapifix","ARG","ldpe",0
2019,"Rapifix","ARG","o",0
2019,"Rapifix","ARG","pet",0
2019,"Rapifix","ARG","pp",1
2019,"Rapifix","ARG","ps",0
2019,"Rapifix","ARG","pvc",0
2019,"Pop Arcor","ARG","hdpe",0
2019,"Pop Arcor","ARG","ldpe",0
2019,"Pop Arcor","ARG","o",0
2019,"Pop Arcor","ARG","pet",0
2019,"Pop Arcor","ARG","pp",1
2019,"Pop Arcor","ARG","ps",0
2019,"Pop Arcor","ARG","pvc",0
2019,"Porta Bialcohol","ARG","hdpe",0
2019,"Porta Bialcohol","ARG","ldpe",0
2019,"Porta Bialcohol","ARG","o",0
2019,"Porta Bialcohol","ARG","pet",1
2019,"Porta Bialcohol","ARG","pp",0
2019,"Porta Bialcohol","ARG","ps",0
2019,"Porta Bialcohol","ARG","pvc",0
2019,"Porteñitas","ARG","hdpe",0
2019,"Porteñitas","ARG","ldpe",0
2019,"Porteñitas","ARG","o",0
2019,"Porteñitas","ARG","pet",0
2019,"Porteñitas","ARG","pp",1
2019,"Porteñitas","ARG","ps",0
2019,"Porteñitas","ARG","pvc",0
2019,"Prinz","ARG","hdpe",1
2019,"Prinz","ARG","ldpe",0
2019,"Prinz","ARG","o",0
2019,"Prinz","ARG","pet",0
2019,"Prinz","ARG","pp",0
2019,"Prinz","ARG","ps",0
2019,"Prinz","ARG","pvc",0
2019,"Buss","ARG","hdpe",0
2019,"Buss","ARG","ldpe",0
2019,"Buss","ARG","o",1
2019,"Buss","ARG","pet",0
2019,"Buss","ARG","pp",0
2019,"Buss","ARG","ps",0
2019,"Buss","ARG","pvc",0
2019,"Bubbaloo","ARG","hdpe",0
2019,"Bubbaloo","ARG","ldpe",0
2019,"Bubbaloo","ARG","o",0
2019,"Bubbaloo","ARG","pet",0
2019,"Bubbaloo","ARG","pp",1
2019,"Bubbaloo","ARG","ps",0
2019,"Bubbaloo","ARG","pvc",0
2019,"Rafting","ARG","hdpe",0
2019,"Rafting","ARG","ldpe",0
